Dates, INFO, WARN,ERROR,DEBUG
2021-04-21,44,35,20,0
2021-04-22,2,26,17,0
2021-04-26,27,20,14,0
2021-05-02,36,56,44,0
2021-06-16,26,23,27,0
2021-02-23,84,32,300,0
2021-02-24,28,18,28,0
2021-03-05,33,21,23,0
2021-03-15,32,21,33,0
2021-03-18,29,36,34,0
2021-04-01,27,32,43,0
2021-03-11,53,29,19,0
2021-03-12,28,19,30,0
2021-03-13,3,16,34,0
2021-03-14,27,26,33,0
2022-02-25,25,34,0,0
2022-03-20,1,26,14,40718
2022-04-09,0,16,0,11983
2021-04-11,25,23,0,0
2021-07-05,27,17,23,0
2021-04-14,41,4,0,0
2021-04-16,50,23,0,0
2021-05-03,26,20,17,0
2021-05-06,33,22,32,0
2021-05-05,27,18,13,0
2021-05-10,28,24,16,0
2021-05-14,25,42,0,0
2021-05-15,0,62,0,0
2021-05-16,51,35,0,0
2021-05-17,25,25,0,0
2021-05-20,25,38,25,0
2021-08-31,26,34,23,0
2021-09-05,0,17,0,0
2021-12-19,33,14,0,438
2021-04-20,56,28,0,0
2021-12-28,2,22,0,1384
2022-02-17,37,30,35,3347
2022-02-19,1,36,1,1482
2022-02-21,3,63,0,1906
2022-04-13,52,30,36,30184
2022-04-14,29,33,66,35170
2022-05-06,2,35,1,33142
2022-06-05,0,25,0,33199
2022-07-01,4,35,24,32052
2022-07-26,6,15,0,0
2021-05-21,4,30,52,0
2021-05-22,3,34,14,0
2021-05-23,2,13,14,0
2021-05-24,3,33,14,0
2021-05-25,1,21,6,0
2021-05-26,0,24,0,0
2021-05-27,0,25,0,0
2021-05-28,0,30,0,0
2021-05-29,0,33,0,0
2021-05-30,81,25,0,0
2021-04-23,2,21,34,0
2021-04-24,3,21,13,0
2021-04-25,2,12,30,0
2021-04-27,2,26,14,0
2021-04-28,2,18,31,0
2021-04-29,2,33,16,0
2021-04-30,2,23,14,0
2021-05-01,2,19,31,0
2021-05-04,4,25,18,0
2021-05-07,2,27,34,0
2021-05-08,3,20,76,0
2021-05-09,1,6,10,0
2021-05-11,0,19,0,0
2021-05-12,0,14,0,0
2021-05-13,0,27,0,0
2021-05-18,0,17,0,0
2021-05-19,0,30,0,0
2021-05-31,0,29,0,0
2021-06-01,0,8,0,0
2021-04-15,0,31,0,0
2021-04-17,0,18,0,0
2021-04-18,0,20,0,0
2021-04-19,0,23,0,0
2021-01-21,84,545,23,0
2021-01-22,2,483,49,0
2021-01-23,2,418,17,0
2021-01-24,3,362,15,0
2021-01-25,17,491,17,0
2021-01-26,3,436,33,0
2021-01-27,19,250,183,0
2021-01-28,1,172,33,0
2021-01-29,19,22,38,0
2021-01-31,68,9,14,0
2021-01-30,2,21,19,0
2021-02-01,0,15,0,0
2021-02-02,0,17,0,0
2021-02-03,0,22,0,0
2021-02-04,0,21,0,0
2021-02-05,0,19,0,0
2021-02-06,0,26,0,0
2021-02-07,0,12,0,0
2021-02-08,0,13,0,0
2021-02-09,0,18,0,0
2021-02-10,0,32,0,0
2021-02-11,0,34,0,0
2021-02-12,18,29,8,0
2021-02-13,2,12,54,0
2021-02-14,3,24,36,0
2021-02-15,1,20,16,0
2021-02-16,2,23,39,0
2021-02-17,3,15,20,0
2021-02-18,2,25,51,0
2021-02-19,1,8,8,0
2021-02-20,0,16,0,0
2021-02-21,0,18,0,0
2021-02-22,0,53,0,0
2021-02-25,0,19,0,0
2021-02-26,0,16,0,0
2021-02-27,0,11,0,0
2021-02-28,0,14,0,0
2021-03-01,0,20,0,0
2021-03-02,50,18,1,0
2021-08-25,17,7,4,0
2021-08-26,2,24,22,0
2021-08-27,3,21,22,0
2021-08-28,2,21,26,0
2021-08-29,1,19,64,0
2021-08-30,3,32,40,0
2021-09-01,0,26,0,0
2021-09-02,0,19,0,0
2021-09-03,0,15,0,0
2021-09-04,0,24,0,0
2021-09-06,0,14,0,0
2021-09-07,0,22,0,0
2021-09-08,0,30,0,0
2021-09-09,0,22,0,0
2021-09-10,0,24,0,0
2021-09-11,0,23,0,0
2021-09-12,0,23,0,0
2021-09-13,0,28,0,0
2021-09-14,0,25,0,0
2021-09-15,0,28,0,0
2021-09-16,0,17,0,0
2021-09-17,0,17,0,0
2021-09-18,0,20,0,0
2021-09-19,0,21,0,0
2021-09-20,0,18,0,0
2021-09-21,0,18,0,0
2021-09-22,0,27,0,0
2021-09-23,0,24,0,0
2021-09-24,0,20,0,0
2021-09-25,0,10,0,0
2021-09-26,0,19,0,0
2021-09-27,0,21,0,0
2021-09-28,0,19,0,0
2021-09-29,0,28,0,0
2021-09-30,0,32,0,0
2021-10-01,0,18,0,0
2021-10-02,18,13,31,0
2021-03-03,2,33,18,0
2021-03-04,3,23,19,0
2021-03-09,18,11,8,0
2021-03-10,2,30,15,0
2021-03-16,4,23,17,0
2021-03-17,2,27,24,0
2021-03-19,3,19,32,0
2021-03-20,2,17,14,0
2021-03-21,3,11,22,0
2021-03-22,1,22,23,0
2021-03-23,2,21,19,0
2021-03-24,2,30,22,0
2021-03-25,3,20,24,0
2021-03-26,2,12,16,0
2021-03-27,2,19,34,0
2021-03-28,3,17,17,0
2021-03-29,3,17,35,0
2021-03-30,18,17,15,0
2021-03-31,37,15,15,0
2021-04-02,19,13,23,0
2021-04-03,3,19,45,0
2021-04-04,2,15,20,0
2021-04-05,19,19,52,0
2021-04-06,16,10,3,0
2021-04-07,0,23,0,0
2021-12-14,22,27,4,1093
2021-12-15,0,24,9,1118
2021-12-16,2,28,0,1272
2021-12-17,3,16,1,946
2021-12-18,2,21,14,1257
2021-12-20,0,28,0,0
2021-12-21,0,26,0,0
2021-12-22,0,23,0,0
2021-12-23,0,16,0,0
2021-12-24,0,22,0,0
2021-12-25,0,19,0,0
2021-12-26,60,18,1,1330
2021-12-27,1,29,0,1532
2021-12-29,2,14,1,3408
2021-12-30,3,14,17,2139
2021-12-31,4,17,3,2839
2022-01-01,2,8,2,2444
2022-01-02,33,26,18,1991
2022-01-03,2,27,1,1571
2022-01-04,2,15,17,1727
2022-01-05,2,30,9,2385
2022-01-06,3,35,0,350
2022-01-07,75,37,36,308
2022-01-08,2,21,1,1555
2022-01-09,1,18,1,1438
2022-01-10,69,19,2,1941
2022-01-11,69,34,2,1980
2022-01-12,2,32,23,3320
2022-01-13,70,25,1,3630
2022-01-14,2,47,2,2075
2022-01-15,68,37,23,3407
2022-01-16,3,20,4,1945
2022-01-17,4,41,2,2354
2022-01-18,138,34,12,3013
2022-01-19,2,30,0,2469
2022-01-20,2,31,2,4218
2022-01-21,3,22,80,3137
2022-01-22,1,20,62,2711
2022-01-23,3,18,3,2852
2022-01-24,2,20,120,3709
2022-01-25,5,60,13,6183
2022-01-26,2,43,8,2739
2022-01-27,18,37,4,2930
2022-01-28,8,64,33,2937
2022-01-29,83,54,36,2036
2022-01-30,3,20,67,1416
2022-01-31,38,38,20,1964
2022-02-01,24,54,67,1992
2022-02-02,6,49,37,2881
2022-02-03,75,31,35,4073
2022-02-04,5,30,49,3140
2022-02-05,4,17,35,1380
2022-02-06,5,23,35,1403
2022-02-07,3,24,41,2156
2022-02-08,6,27,84,3604
2022-02-09,93,28,61,2369
2022-04-10,89,9,20,6736
2022-04-11,178,48,54,31679
2022-04-12,2,34,9,31802
2022-04-15,1,20,1,42960
2022-04-16,76,17,10,32902
2022-04-17,4,42,83,35140
2022-04-18,3,26,10,35083
2022-04-19,74,22,1,34665
2022-04-20,2,25,80,34626
2022-04-21,3,12,9,40221
2022-04-22,3,15,3,36220
2022-04-23,2,12,67,39908
2022-04-24,2,24,20,34260
2022-04-25,3,30,1,37760
2022-04-26,1,23,79,41661
2022-04-27,3,27,11,40790
2022-04-28,74,39,11,40748
2022-04-29,6,30,90,42353
2022-04-30,4,18,9,33970
2022-05-01,1,46,5,32000
2022-05-02,3,33,92,40503
2022-05-03,2,23,3,31705
2022-05-04,4,27,10,33224
2022-05-05,2,28,86,39438
2022-05-07,0,31,9,37898
2022-05-08,2,24,69,36985
2022-05-09,37,37,56,38498
2022-02-10,3,26,48,2396
2022-02-11,2,23,31,1668
2022-02-12,1,22,2,1831
2022-02-13,1,13,1,983
2022-02-14,73,35,1,1826
2022-02-15,3,27,0,2619
2022-02-16,1,20,1,2033
2022-02-18,2,17,1,2792
2022-02-20,0,12,18,1233
2022-02-22,138,50,0,1587
